Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
43,Male,Bachelor's Degree,Full Stack Engineer,19,152726,18.32712
33,Female,Master's Degree,Back end Developer,9,124141,14.89692
26,Male,Bachelor's Degree,Front end Developer,3,67556,8.10672
50,Female,Master's Degree,Senior Project Engineer,22,182768,21.93216
41,Male,PhD,Software Engineer Manager,15,148727,17.84724
29,Female,Bachelor's Degree,Full Stack Engineer,6,91903,11.02836
38,Male,Master's Degree,Senior Software Engineer,14,147708,17.72496
48,Female,Bachelor's Degree,Senior Project Engineer,21,163209,19.58508
31,Male,Master's Degree,Full Stack Engineer,8,120288,14.43456
45,Male,PhD,Software Engineer Manager,21,170226,20.42712
35,Female,Master's Degree,Senior Software Engineer,11,134979,16.19748
42,Male,Bachelor's Degree,Back end Developer,16,137489,16.49868
27,Female,Master's Degree,Full Stack Engineer,4,83577,10.02924
33,Male,Bachelor's Degree,Front end Developer,9,117904,14.14848
36,Female,Master's Degree,Senior Project Engineer,11,134482,16.13784
54,Male,PhD,Software Engineer Manager,30,184660,22.1592
30,Female,Bachelor's Degree,Senior Software Engineer,5,100151,12.01812
26,Male,Master's Degree,Full Stack Engineer,3,88678,10.64136
45,Female,PhD,Senior Project Engineer,21,181285,21.7542
38,Male,Master's Degree,Software Engineer Manager,16,154990,18.5988
31,Female,Bachelor's Degree,Full Stack Engineer,7,108204,12.98448
42,Male,Master's Degree,Senior Software Engineer,19,175684,21.08208
28,Female,Bachelor's Degree,Back end Developer,5,77766,9.33192
48,Male,PhD,Software Engineer Manager,24,192211,23.06532
36,Female,Master's Degree,Full Stack Engineer,13,144647,17.35764
43,Male,Bachelor's Degree,Senior Project Engineer,20,162231,19.46772
33,Female,Master's Degree,Front end Developer,9,121120,14.5344
26,Male,Bachelor's Degree,Full Stack Engineer,4,79652,9.55824
50,Female,Master's Degree,Senior Software Engineer,21,177002,21.24024
27,Male,Master's Degree,Back end Developer,5,87584,10.51008
38,Female,Bachelor's Degree,Senior Project Engineer,13,131860,15.8232
54,Male,PhD,Software Engineer Manager,28,182013,21.84156
31,Female,Master's Degree,Full Stack Engineer,7,108799,13.05588
36,Male,Bachelor's Degree,Senior Software Engineer,13,135378,16.24536
45,Female,Master's Degree,Software Engineer Manager,22,183530,22.0236
42,Male,Bachelor's Degree,Back end Developer,18,150901,18.10812
28,Female,Master's Degree,Full Stack Engineer,4,82697,9.92364
48,Male,PhD,Senior Software Engineer,26,194638,23.35656
36,Female,Master's Degree,Senior Project Engineer,12,130356,15.64272
43,Male,Bachelor's Degree,Full Stack Engineer,18,152560,18.3072
33,Female,Master's Degree,Front end Developer,9,121432,14.57184
26,Male,Bachelor's Degree,Back end Developer,2,63789,7.65468
50,Female,Master's Degree,Senior Software Engineer,23,183690,22.0428
41,Male,PhD,Software Engineer Manager,16,151310,18.1572
29,Female,Bachelor's Degree,Full Stack Engineer,6,100358,12.04296
38,Male,Master's Degree,Senior Software Engineer,15,148437,17.81244
48,Female,Bachelor's Degree,Senior Project Engineer,22,168691,20.24292
31,Male,Master's Degree,Full Stack Engineer,8,,0
28,Male,Bachelor's Degree,Software Developer,1,50000,6
32,Female,Master's Degree,Product Manager,5,100000,12
26,Male,Bachelor's Degree,Software Engineer,2,60000,7.2
33,Female,Master's Degree,Data Analyst,6,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,3,70000,8.4
42,Male,PhD,Director of Data Science,12,170000,20.4
36,Female,Master's Degree,Data Scientist,8,130000,15.6
27,Male,Bachelor's Degree,Software Developer,1,50000,6
34,Female,Master's Degree,Product Manager,7,120000,14.4
29,Male,Bachelor's Degree,Software Engineer,4,80000,9.6
41,Female,PhD,Senior Data Scientist,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Director of Data Science,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
30,Female,Bachelor's Degree,Software Engineer,4,80000,9.6
29,Male,Bachelor's Degree,Front End Developer,3,70000,8.4
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
28,Male,Master's Degree,Web Developer,5,80000,9.6
30,Female,Bachelor's Degree,Junior HR Coordinator,4,60000,7.2
25,Male,Bachelor's Degree,Junior Web Developer,2,50000,6
45,Female,Master's Degree,Senior Human Resources Manager,18,160000,19.2
33,Male,PhD,Director of HR,9,120000,14.4
22,Female,High School,Junior HR Generalist,0,40000,4.8
36,Male,Bachelor's Degree,Web Developer,10,100000,12
29,Female,Master's Degree,Senior HR Generalist,4,75000,9
42,Male,PhD,Director of HR,16,140000,16.8
27,Female,Bachelor's Degree,Junior HR Coordinator,2,50000,6
38,Male,Master's Degree,Senior Human Resources Manager,11,110000,13.2
24,Female,Bachelor's Degree,Web Developer,1,45000,5.4
31,Male,High School,Junior Web Developer,4,55000,6.6
39,Female,PhD,Director of HR,13,130000,15.6
26,Male,Bachelor's Degree,Junior HR Generalist,2,50000,6
32,Female,Master's Degree,Senior HR Generalist,7,80000,9.6
32,Male,Bachelor's Degree,Junior Web Developer,2,45000,5.4
24,Female,High School,Junior HR Generalist,1,32000,3.84
45,Male,PhD,Senior Human Resources Manager,12,120000,14.4
29,Female,Master's Degree,Web Developer,4,65000,7.8
38,Male,Bachelor's Degree,Senior HR Generalist,8,95000,11.4
27,Female,Master's Degree,Director of HR,5,80000,9.6
31,Female,High School,Junior HR Coordinator,3,38000,4.56
42,Male,Master's Degree,Web Developer,10,110000,13.2
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
36,Male,Master's Degree,Senior HR Generalist,7,89000,10.68
28,Male,High School,Junior HR Generalist,1,32000,3.84
33,Female,Bachelor's Degree,Web Developer,5,70000,8.4
46,Male,PhD,Director of HR,15,150000,18
25,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
37,Female,Master's Degree,Senior Human Resources Manager,9,105000,12.6
30,Male,Master's Degree,Web Developer,4,65000,7.8
43,Female,PhD,Director of HR,14,140000,16.8
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
26,Female,High School,Junior HR Generalist,2,35000,4.2
41,Male,Master's Degree,Senior HR Generalist,11,115000,13.8
29,Female,Master's Degree,Web Developer,5,70000,8.4
35,Male,Bachelor's Degree,Web Developer,6,80000,9.6
27,Female,High School,Junior HR Coordinator,1,30000,3.6
40,Male,PhD,Director of HR,13,135000,16.2
23,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,10,105000,12.6
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Senior Human Resources Manager,12,120000,14.4
28,Male,Master's Degree,Web Developer,3,55000,6.6
32,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
45,Male,Master's Degree,Director of HR,14,140000,16.8
26,Female,Bachelor's Degree,Web Developer,3,55000,6.6
38,Male,PhD,Senior Human Resources Manager,11,115000,13.8
27,Female,Master's Degree,Senior HR Generalist,4,70000,8.4
33,Male,High School,Junior HR Coordinator,3,38000,4.56
42,Female,Master's Degree,Director of HR,13,135000,16.2
29,Male,Bachelor's Degree,Junior Web Developer,2,45000,5.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Generalist,1,32000,3.84
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Web Developer,4,65000,7.8
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,12,120000,14.4
24,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,9,95000,11.4
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Director of HR,14,140000,16.8
28,Male,Bachelor's Degree,Web Developer,3,55000,6.6
32,Female,Master's Degree,Senior Human Resources Manager,6,80000,9.6
45,Male,PhD,Director of HR,13,135000,16.2
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
38,Male,Master's Degree,Senior HR Generalist,8,95000,11.4
27,Female,High School,Junior HR Generalist,1,32000,3.84
33,Male,Bachelor's Degree,Web Developer,5,70000,8.4
42,Female,Master's Degree,Director of HR,12,120000,14.4
29,Male,Master's Degree,Senior Human Resources Manager,4,70000,8.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Coordinator,2,33000,3.96
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,11,115000,13.8
24,Female,Bachelor's Degree,Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,10,105000,12.6
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Director of HR,13,135000,16.2
28,Male,Bachelor's Degree,Web Developer,4,65000,7.8
32,Female,Master's Degree,Senior Human Resources Manager,6,80000,9.6
45,Male,PhD,Director of HR,14,140000,16.8
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
38,Male,Master's Degree,Senior HR Generalist,8,95000,11.4
27,Female,High School,Junior HR Generalist,1,32000,3.84
33,Male,Bachelor's Degree,Web Developer,5,70000,8.4
42,Female,Master's Degree,Director of HR,12,120000,14.4
29,Male,Master's Degree,Senior Human Resources Manager,4,70000,8.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Coordinator,2,33000,3.96
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,11,115000,13.8
24,Female,Bachelor's Degree,Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,10,105000,12.6
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Director of HR,13,135000,16.2
28,Male,Bachelor's Degree,Web Developer,4,65000,7.8
32,Female,Master's Degree,Senior Human Resources Manager,6,80000,9.6
45,Male,PhD,Director of HR,14,140000,16.8
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
38,Male,Master's Degree,Senior HR Generalist,8,95000,11.4
27,Female,High School,Junior HR Generalist,1,32000,3.84
33,Male,Bachelor's Degree,Web Developer,5,70000,8.4
42,Female,Master's Degree,Director of HR,12,120000,14.4
29,Male,Master's Degree,Senior Human Resources Manager,4,70000,8.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Coordinator,2,33000,3.96
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,11,115000,13.8
24,Female,Bachelor's Degree,Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,10,105000,12.6
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Director of HR,13,135000,16.2
28,Male,Bachelor's Degree,Web Developer,4,65000,7.8
32,Female,Master's Degree,Senior Human Resources Manager,6,80000,9.6
45,Male,PhD,Director of HR,14,140000,16.8
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
38,Male,Master's Degree,Senior HR Generalist,8,95000,11.4
27,Female,High School,Junior HR Generalist,1,32000,3.84
33,Male,Bachelor's Degree,Web Developer,5,70000,8.4
42,Female,Master's Degree,Director of HR,12,120000,14.4
29,Male,Master's Degree,Senior Human Resources Manager,4,70000,8.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Coordinator,2,33000,3.96
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,11,115000,13.8
32,Male,Bachelor's Degree,Junior Web Developer,2,45000,5.4
24,Female,High School,Junior HR Generalist,1,32000,3.84
45,Male,PhD,Senior Human Resources Manager,12,120000,14.4
29,Female,Master's Degree,Web Developer,4,65000,7.8
38,Male,Bachelor's Degree,Senior HR Generalist,8,95000,11.4
27,Female,Master's Degree,Director of HR,5,80000,9.6
31,Female,High School,Junior HR Coordinator,3,38000,4.56
42,Male,Master's Degree,Web Developer,10,110000,13.2
26,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
36,Male,Master's Degree,Senior HR Generalist,7,89000,10.68
28,Male,High School,Junior HR Generalist,1,32000,3.84
33,Female,Bachelor's Degree,Web Developer,5,70000,8.4
46,Male,PhD,Director of HR,15,150000,18
25,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
37,Female,Master's Degree,Senior Human Resources Manager,9,105000,12.6
30,Male,Master's Degree,Web Developer,4,65000,7.8
43,Female,PhD,Director of HR,14,140000,16.8
34,Male,Bachelor's Degree,Junior Web Developer,3,50000,6
26,Female,High School,Junior HR Generalist,2,35000,4.2
41,Male,Master's Degree,Senior HR Generalist,11,115000,13.8
29,Female,Master's Degree,Web Developer,5,70000,8.4
35,Male,Bachelor's Degree,Web Developer,6,80000,9.6
27,Female,High School,Junior HR Coordinator,1,30000,3.6
40,Male,PhD,Director of HR,13,135000,16.2
23,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,10,105000,12.6
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Senior Human Resources Manager,12,120000,14.4
28,Male,Master's Degree,Web Developer,3,55000,6.6
32,Female,Bachelor's Degree,Junior Web Developer,2,45000,5.4
45,Male,Master's Degree,Director of HR,14,140000,16.8
26,Female,Bachelor's Degree,Web Developer,3,55000,6.6
38,Male,PhD,Senior Human Resources Manager,11,115000,13.8
27,Female,Master's Degree,Senior HR Generalist,4,70000,8.4
33,Male,High School,Junior HR Coordinator,3,38000,4.56
42,Female,Master's Degree,Director of HR,13,135000,16.2
29,Male,Bachelor's Degree,Junior Web Developer,2,45000,5.4
36,Female,Master's Degree,Web Developer,7,85000,10.2
30,Male,High School,Junior HR Generalist,1,32000,3.84
43,Female,PhD,Senior Human Resources Manager,15,150000,18
34,Male,Bachelor's Degree,Web Developer,4,65000,7.8
25,Female,Master's Degree,Junior HR Generalist,1,32000,3.84
37,Male,PhD,Director of HR,12,120000,14.4
24,Female,Bachelor's Degree,Junior Web Developer,1,40000,4.8
39,Male,Master's Degree,Senior HR Generalist,9,95000,11.4
31,Male,High School,Junior HR Generalist,2,35000,4.2
44,Female,PhD,Director of HR,14,140000,16.8
28,Male,Bachelor's Degree,Web Developer,3,55000,6.6
32,Female,Master's Degree,Senior Human Resources Manager,6,80000,9.6
45,Male,PhD,Director of HR,13,135000,16.2
